id,Building Name,Year of Completion,Total Floors,Swimming Pools,Total Parking Spaces,Total Building Area,Elevators,Retail Centres
8264917,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8284664,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
7997869,PRINCESS TOWER,2012,89,NA,NA,"1,097,409 sqft",NA,8
8383617,MANCHESTER TOWER,2008,33,NA,NA,"439,936 sqft",NA,3
8433157,No.9,2017,36,2,269,"255,330 sqft",7,7
8538497,CAYAN TOWER,2013,68,NA,NA,"720,602 sqft",NA,7
8509563,IRIS BLUE,2011,29,NA,NA,"211,465 sqft",NA,6
8118386,YACHT BAY,2008,17,NA,NA,"179,561 sqft",NA,1
8536701,EMIRATES CROWN TOWER,2009,62,NA,NA,"1,326,014 sqft",NA,6
7876031,NA,NA,NA,NA,NA,NA,NA,NA
8166319,Jumeirah Living Marina Gate,2020,61,2,729,"1,403,677 sqft",12,16
8177994,Sparkle Tower 2,2019,14,2,126,"107,473 sqft",3,NA
8370937,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8454240,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
8536387,IRIS BLUE,2011,29,NA,NA,"211,465 sqft",NA,6
8158061,The Jewels T2,2009,18,NA,NA,"153,653 sqft",NA,2
8201600,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8202039,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8202038,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8496358,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8428787,BAY CENTRAL 2,2012,38,NA,NA,"277,517 sqft",NA,NA
8125207,SAHAB-2,2007,73,NA,NA,"330,196 sqft",NA,NA
8512051,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8522755,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
8426024,SHEMARA W2,2009,32,NA,985,"207,736 sqft",3,NA
8369572,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8433264,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
8486453,OCEAN HEIGHTS,2010,75,NA,NA,"810,161 sqft",NA,1
8512623,MARINA SHORES,NA,11,1,551,"1,133,555 sqft",12,7
8507372,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8320244,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8058551,Studio One,2019,32,1,424,"264,403 sqft",6,5
8110034,BAYSIDE,2010,24,NA,NA,"469,357 sqft",NA,6
8373001,IRIS BLUE,2011,29,NA,NA,"211,465 sqft",NA,6
8443128,23 MARINA,2012,62,NA,NA,"886,537 sqft",NA,NA
8296036,Sulafa Tower,2010,67,NA,NA,"846,914 sqft",NA,1
8308351,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
8213579,WEST AVENUE,2014,35,NA,NA,"267,598 sqft",NA,5
8468750,VIDA Residences Dubai Marina,2022,60,1,562,"1,403,598 sqft",17,NA
8499774,ORRA HARBOUR TOWER 2,2017,1,1,165,"129,369 sqft",5,NA
8505143,Delphine W3,2009,23,NA,985,"133,898 sqft",2,NA
8508132,Sulafa Tower,2010,67,NA,NA,"846,914 sqft",NA,1
8486367,PARK ISLAND SANIBEL,2010,28,1,205,"370,407 sqft",3,NA
8090851,Delphine W3,2009,23,NA,985,"133,898 sqft",2,NA
8377156,MARINA 101,NA,61,NA,NA,"1,379,605 sqft",NA,NA
8454831,Torch Tower,2011,76,NA,NA,"852,218 sqft",NA,6
8205691,Stella Maris,2022,58,1,379,"940,502 sqft",8,4
8196438,NA,NA,NA,NA,NA,NA,NA,NA
8197533,Cavalli Casa Tower,NA,72,1,640,"1,908,955 sqft",19,3
8424584,LA RIVIERA TOWER,2008,34,NA,NA,"269,282 sqft",NA,3
8463308,DAMAC HEIGHTS,2018,80,1,703,"884,073 sqft",12,3
8009124,DAMAC HEIGHTS,2018,80,1,703,"884,073 sqft",12,3
8430798,THE RESIDENCES AT MARINA GATE 1,2018,47,1,640,"610,210 sqft",10,16
8501721,THE RESIDENCE AT MARINA GATE 2,2019,61,1,770,"703,394 sqft",11,15
8444495,Studio One,2019,32,1,424,"264,403 sqft",6,5
8305871,ELITE RESIDENCE,2012,75,NA,NA,"925,527 sqft",NA,3
