id,Project Name,Project Status,Last Inspected,Completion,Handover
8264917,NA,NA,NA,NA,NA
8284664,NA,NA,NA,NA,NA
7997869,NA,NA,NA,NA,NA
8383617,NA,NA,NA,NA,NA
8433157,NA,NA,NA,NA,NA
8538497,NA,NA,NA,NA,NA
8509563,NA,NA,NA,NA,NA
8118386,NA,NA,NA,NA,NA
8536701,NA,NA,NA,NA,NA
7876031,LIV MARINA,Active,October 2023,56%,May 2025
8166319,NA,NA,NA,NA,NA
8177994,NA,NA,NA,NA,NA
8370937,NA,NA,NA,NA,NA
8454240,NA,NA,NA,NA,NA
8536387,NA,NA,NA,NA,NA
8158061,NA,NA,NA,NA,NA
8201600,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8202039,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8202038,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8496358,NA,NA,NA,NA,NA
8428787,NA,NA,NA,NA,NA
8125207,NA,NA,NA,NA,NA
8512051,MARINA SHORES,Active,October 2023,6%,December 2026
8522755,NA,NA,NA,NA,NA
8426024,NA,NA,NA,NA,NA
8369572,NA,NA,NA,NA,NA
8433264,NA,NA,NA,NA,NA
8486453,NA,NA,NA,NA,NA
8512623,MARINA SHORES,Active,October 2023,6%,December 2026
8507372,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8320244,NA,NA,NA,NA,NA
8058551,NA,NA,NA,NA,NA
8110034,NA,NA,NA,NA,NA
8373001,NA,NA,NA,NA,NA
8443128,NA,NA,NA,NA,NA
8296036,NA,NA,NA,NA,NA
8308351,NA,NA,NA,NA,NA
8213579,NA,NA,NA,NA,NA
8468750,NA,NA,NA,NA,NA
8499774,NA,NA,NA,NA,NA
8505143,NA,NA,NA,NA,NA
8508132,NA,NA,NA,NA,NA
8486367,NA,NA,NA,NA,NA
8090851,NA,NA,NA,NA,NA
8377156,NA,NA,NA,NA,NA
8454831,NA,NA,NA,NA,NA
8205691,NA,NA,NA,NA,NA
8196438,LIV MARINA,Active,October 2023,56%,May 2025
8197533,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8424584,NA,NA,NA,NA,NA
8463308,NA,NA,NA,NA,NA
8009124,NA,NA,NA,NA,NA
8430798,NA,NA,NA,NA,NA
8501721,NA,NA,NA,NA,NA
8444495,NA,NA,NA,NA,NA
8305871,NA,NA,NA,NA,NA
8248536,NA,NA,NA,NA,NA
8476557,NA,NA,NA,NA,NA
6976321,NA,NA,NA,NA,NA
8352021,NA,NA,NA,NA,NA
8427309,NA,NA,NA,NA,NA
8006880,LIV LUX,Active,August 2023,3%,December 2026
8290256,Ciel,Active,July 2023,80%,NA
