
id,Type,Purpose,Completion,Added on,Rent_Frequency
8161441,Apartment,For Rent,,8 November 2023,Yearly
8121161,Apartment,For Rent,,31 October 2023,Yearly
6197613,Apartment,For Rent,,27 November 2023,Yearly
8589439,Apartment,For Rent,,12 February 2024,Yearly
8629770,Apartment,For Rent,,20 February 2024,Yearly
8520235,Apartment,For Rent,,29 January 2024,Yearly
7681442,Apartment,For Rent,,12 July 2023,Yearly
8621750,Apartment,For Rent,,18 February 2024,Yearly
8641485,Apartment,For Rent,,21 February 2024,Yearly
8628678,Apartment,For Rent,,19 February 2024,Yearly
6343829,Apartment,For Rent,,12 July 2023,Yearly
8625679,Apartment,For Rent,,19 February 2024,Yearly
8636028,Apartment,For Rent,,21 February 2024,Yearly
8624655,Apartment,For Rent,,19 February 2024,Yearly
8578150,Apartment,For Rent,,9 February 2024,Yearly
8643073,Apartment,For Rent,,22 February 2024,Yearly
8476004,Apartment,For Rent,,19 January 2024,Yearly
8588778,Apartment,For Rent,,11 February 2024,Yearly
8526535,Apartment,For Rent,,29 January 2024,Yearly
8641588,Apartment,For Rent,,22 February 2024,Yearly
8603311,Apartment,For Rent,,14 February 2024,Yearly
8427182,Apartment,For Rent,,9 January 2024,Yearly
8643734,Apartment,For Rent,,22 February 2024,Yearly
8608830,Apartment,For Rent,,15 February 2024,Yearly
8639541,Apartment,For Rent,,21 February 2024,Yearly
8561090,Apartment,For Rent,,6 February 2024,Yearly
8600098,Apartment,For Rent,,14 February 2024,Yearly
8455908,Apartment,For Rent,,15 January 2024,Yearly
8453608,Apartment,For Rent,,15 January 2024,Yearly
8471817,Apartment,For Rent,,18 January 2024,Yearly
8551512,Apartment,For Rent,,3 February 2024,Yearly
8486295,Apartment,For Rent,,22 January 2024,Yearly
8542483,Apartment,For Rent,,1 February 2024,Yearly
7988024,Apartment,For Rent,,30 September 2023,Yearly
8318893,Apartment,For Rent,,14 December 2023,Yearly
8632419,Apartment,For Rent,,20 February 2024,Yearly
8607419,Apartment,For Rent,,15 February 2024,Yearly
8576175,Apartment,For Rent,,8 February 2024,Yearly
8576172,Apartment,For Rent,,8 February 2024,Yearly
8622501,Apartment,For Rent,,18 February 2024,Yearly
8615486,Apartment,For Rent,,16 February 2024,Yearly
8319996,Apartment,For Rent,,14 December 2023,Yearly
8453942,Apartment,For Rent,,15 January 2024,Yearly
8398833,Apartment,For Rent,,3 January 2024,Yearly
8550108,Apartment,For Rent,,3 February 2024,Yearly
8456321,Apartment,For Rent,,15 January 2024,Yearly
8613165,Apartment,For Rent,,16 February 2024,Yearly
8624442,Apartment,For Rent,,19 February 2024,Yearly
8524390,Apartment,For Rent,,29 January 2024,Yearly
8513520,Apartment,For Rent,,26 January 2024,Yearly
8524391,Apartment,For Rent,,29 January 2024,Yearly
8612724,Apartment,For Rent,,16 February 2024,Yearly
8251625,Apartment,For Rent,,28 November 2023,Yearly
8581707,Apartment,For Rent,,9 February 2024,Yearly
8547753,Apartment,For Rent,,2 February 2024,Yearly
8603484,Apartment,For Rent,,14 February 2024,Yearly
8610841,Apartment,For Rent,,15 February 2024,Yearly
8602101,Apartment,For Rent,,14 February 2024,Yearly
8549974,Apartment,For Rent,,3 February 2024,Yearly
8393873,Apartment,For Rent,,2 January 2024,Yearly
