id,Developer,Ownership,Built-up Area,Usage,Balcony Size,Total Building Area,Parking Availability
8264917,TAMEER HOLDING INVESTMENT   (LLC),Freehold,"1,183 sqft",Residential,114 sqft,"1,097,409 sqft",Yes
8284664,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"3,965 sqft",Other,"1,392 sqft","1,403,598 sqft",Yes
7997869,TAMEER HOLDING INVESTMENT   (LLC),Freehold,"1,183 sqft",Residential,114 sqft,"1,097,409 sqft",Yes
8383617,NA,Freehold,517 sqft,Residential,103 sqft,"439,936 sqft",Yes
8433157,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,661 sqft,Residential,36 sqft,"255,330 sqft",Yes
8538497,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C,Freehold,"1,255 sqft",Residential,35 sqft,"720,602 sqft",Yes
8509563,NA,Freehold,"1,702 sqft",Residential,198 sqft,"211,465 sqft",Yes
8118386,NA,Freehold,"1,185 sqft",Residential,90 sqft,"179,561 sqft",Yes
8536701,NA,Freehold,"2,587 sqft",Residential,350 sqft,"1,326,014 sqft",Yes
7876031,L I V REAL ESTATE DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8166319,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,"1,516 sqft",Residential,223 sqft,"1,403,677 sqft",Yes
8177994,TEBYAN REAL ESTATE DEVELOPMENT ENTERPRISES (LLC),Freehold,"1,525 sqft",Residential,237 sqft,"107,473 sqft",Yes
8370937,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"1,087 sqft",Other,102 sqft,"1,403,598 sqft",Yes
8454240,SCOPE INVESTMENT L L C - DUBAI BRANCH,Freehold,"1,868 sqft",Other,266 sqft,"940,502 sqft",Yes
8536387,NA,Freehold,"1,702 sqft",Residential,198 sqft,"211,465 sqft",Yes
8158061,NA,NA,NA,NA,NA,"153,653 sqft",NA
8201600,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,"1,908,955 sqft",NA
8202039,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,"1,908,955 sqft",NA
8202038,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,"1,908,955 sqft",NA
8496358,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"1,234 sqft",Other,155 sqft,"1,403,598 sqft",Yes
8428787,BAY CENTRAL DEVELOPMENTS LIMITED,Freehold,835 sqft,Residential,245 sqft,"277,517 sqft",Yes
8125207,NA,Freehold,"2,205 sqft",Residential,175 sqft,"330,196 sqft",Yes
8512051,EMAAR PROPERTIES (P.J.S.C),NA,NA,NA,NA,"1,133,555 sqft",NA
8522755,TAMEER HOLDING INVESTMENT   (LLC),Freehold,"1,331 sqft",Residential,37 sqft,"925,527 sqft",Yes
8426024,NA,Freehold,"1,410 sqft",Residential,75 sqft,"207,736 sqft",Yes
8369572,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"1,152 sqft",Other,123 sqft,"1,403,598 sqft",Yes
8433264,SCOPE INVESTMENT L L C - DUBAI BRANCH,Freehold,"1,383 sqft",Other,194 sqft,"940,502 sqft",Yes
8486453,DAMAC PROPERTIES CO (L.L.C),Freehold,"1,851 sqft",Residential,146 sqft,"810,161 sqft",Yes
8512623,EMAAR PROPERTIES (P.J.S.C),NA,NA,NA,NA,"1,133,555 sqft",NA
8507372,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,"1,908,955 sqft",NA
8320244,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"1,095 sqft",Other,102 sqft,"1,403,598 sqft",Yes
8058551,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,714 sqft,Residential,62 sqft,"264,403 sqft",Yes
8110034,TRIDENT INTERNATIONAL HOLDING (FZCO),Freehold,"4,774 sqft",Residential,"1,934 sqft","469,357 sqft",Yes
8373001,NA,Freehold,"1,371 sqft",Residential,158 sqft,"211,465 sqft",Yes
8443128,HIRCON INTERNATIONAL L.L.C,Freehold,"2,980 sqft",Residential,365 sqft,"886,537 sqft",Yes
8296036,AL SAYYAH & SONS INVESTMENT (L.L.C.),Freehold,967 sqft,Residential,87 sqft,"846,914 sqft",Yes
8308351,NA,NA,NA,NA,NA,"925,527 sqft",NA
8213579,WEST AVENUE LIMITED,Freehold,"1,331 sqft",Residential,180 sqft,"267,598 sqft",Yes
8468750,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"2,307 sqft",Other,223 sqft,"1,403,598 sqft",Yes
8499774,MARINA 3K LIMITED,Freehold,"1,386 sqft",Residential,446 sqft,"129,369 sqft",Yes
8505143,NA,Freehold,"1,979 sqft",Residential,115 sqft,"133,898 sqft",Yes
8508132,AL SAYYAH & SONS INVESTMENT (L.L.C.),Freehold,910 sqft,Residential,98 sqft,"846,914 sqft",Yes
8486367,NA,NA,NA,NA,NA,"370,407 sqft",NA
8090851,NA,Freehold,"1,797 sqft",Residential,176 sqft,"133,898 sqft",Yes
8377156,NA,NA,NA,NA,NA,"1,379,605 sqft",NA
8454831,TORCH SELECT LIMITED,Freehold,"1,258 sqft",Other,78 sqft,"852,218 sqft",Yes
8205691,SCOPE INVESTMENT L L C - DUBAI BRANCH,Freehold,"1,529 sqft",Other,192 sqft,"940,502 sqft",Yes
8196438,L I V REAL ESTATE DEVELOPMENT L.L.C,NA,NA,NA,NA,NA,NA
8197533,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,"1,908,955 sqft",NA
8424584,NA,Freehold,"1,898 sqft",Residential,74 sqft,"269,282 sqft",Yes
8463308,DAMAC GULF PROPERTIES (L.L.C),Freehold,"1,512 sqft",Residential,172 sqft,"884,073 sqft",Yes
8009124,DAMAC GULF PROPERTIES (L.L.C),Freehold,848 sqft,Residential,131 sqft,"884,073 sqft",Yes
8430798,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,"1,396 sqft",Residential,109 sqft,"610,210 sqft",Yes
8501721,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,"1,812 sqft",Residential,216 sqft,"703,394 sqft",Yes
8444495,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,591 sqft,Residential,102 sqft,"264,403 sqft",Yes
8305871,TAMEER HOLDING INVESTMENT   (LLC),Freehold,960 sqft,Residential,35 sqft,"925,527 sqft",Yes
8248536,L I V REAL ESTATE DEVELOPMENT L.L.C,Freehold,919 sqft,Residential,119 sqft,"427,447 sqft",Yes
8476557,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,"1,204 sqft",Residential,153 sqft,"703,394 sqft",Yes
6976321,NA,Freehold,"1,391 sqft",Other,208 sqft,"439,936 sqft",Yes
8352021,NA,Freehold,"1,944 sqft",Other,127 sqft,"321,210 sqft",Yes
8427309,ZUMURUD REAL ESTATE - sole proprietorship L.L.C,Freehold,866 sqft,Residential,92 sqft,"279,413 sqft",Yes
8006880,MARINA LIV DEVELOPMENT (Br of MARINA 2 GROUP LIMITED ) - DUBAI BRANCH,NA,NA,NA,NA,NA,NA
8290256,T F G REAL ESTATE L.L.C,NA,NA,NA,NA,"1,363,152 sqft",NA
8014737,NA,Freehold,"2,619 sqft",Residential,350 sqft,"1,326,014 sqft",Yes
8057724,T F G REAL ESTATE L.L.C,NA,NA,NA,NA,"1,363,152 sqft",NA
8248295,DAMAC GULF PROPERTIES (L.L.C),Freehold,951 sqft,Residential,149 sqft,"884,073 sqft",Yes
