id      ,Developer                                                             ,Ownership ,Built-up Area ,Usage       ,Balcony Size ,Total Building Area ,Parking Availability
8433264 ,NA                                                                    ,NA        ,NA            ,NA          ,NA           ,"940,502 sqft"      ,NA
8320244 ,EMAAR DEVELOPMENT P.J.S.C.                                            ,Freehold  ,"1,095 sqft"  ,Other       ,102 sqft     ,"1,403,598 sqft"    ,Yes
8110034 ,TRIDENT INTERNATIONAL HOLDING (FZCO)                                  ,Freehold  ,"4,774 sqft"  ,Residential ,"1,934 sqft" ,"469,357 sqft"      ,Yes
8373001 ,NA                                                                    ,Freehold  ,"1,371 sqft"  ,Residential ,158 sqft     ,"211,465 sqft"      ,Yes
8443128 ,HIRCON INTERNATIONAL L.L.C                                            ,Freehold  ,"2,980 sqft"  ,Residential ,365 sqft     ,"886,537 sqft"      ,Yes
8308351 ,NA                                                                    ,NA        ,NA            ,NA          ,NA           ,"925,527 sqft"      ,NA
8213579 ,WEST AVENUE LIMITED                                                   ,Freehold  ,"1,331 sqft"  ,Residential ,180 sqft     ,"267,598 sqft"      ,Yes
8468750 ,EMAAR DEVELOPMENT P.J.S.C.                                            ,Freehold  ,"2,307 sqft"  ,Other       ,223 sqft     ,"1,403,598 sqft"    ,Yes
8505143 ,NA                                                                    ,Freehold  ,"1,979 sqft"  ,Residential ,115 sqft     ,"133,898 sqft"      ,Yes
8508132 ,AL SAYYAH & SONS INVESTMENT (L.L.C.)                                  ,Freehold  ,910 sqft      ,Residential ,98 sqft      ,"846,914 sqft"      ,Yes
8090851 ,NA                                                                    ,Freehold  ,"1,797 sqft"  ,Residential ,176 sqft     ,"133,898 sqft"      ,Yes
8377156 ,NA                                                                    ,NA        ,NA            ,NA          ,NA           ,"1,379,605 sqft"    ,NA
8454831 ,TORCH SELECT LIMITED                                                  ,Freehold  ,"1,258 sqft"  ,Other       ,78 sqft      ,"852,218 sqft"      ,Yes
8205691 ,SCOPE INVESTMENT L L C - DUBAI BRANCH                                 ,Freehold  ,"1,529 sqft"  ,Other       ,192 sqft     ,"940,502 sqft"      ,Yes
8197533 ,ZENICA PROPERTY DEVELOPMENT L.L.C                                     ,NA        ,NA            ,NA          ,NA           ,"1,908,955 sqft"    ,NA
8463308 ,DAMAC GULF PROPERTIES (L.L.C)                                         ,Freehold  ,"1,512 sqft"  ,Residential ,172 sqft     ,"884,073 sqft"      ,Yes
8009124 ,DAMAC GULF PROPERTIES (L.L.C)                                         ,Freehold  ,848 sqft      ,Residential ,131 sqft     ,"884,073 sqft"      ,Yes
8501721 ,SELECT GLOBAL DEVELOPMENT L.L.C                                       ,Freehold  ,"1,812 sqft"  ,Residential ,216 sqft     ,"703,394 sqft"      ,Yes
8444495 ,SELECT GLOBAL DEVELOPMENT L.L.C                                       ,Freehold  ,591 sqft      ,Residential ,102 sqft     ,"264,403 sqft"      ,Yes
8476557 ,SELECT GLOBAL DEVELOPMENT L.L.C                                       ,Freehold  ,"1,204 sqft"  ,Residential ,153 sqft     ,"703,394 sqft"      ,Yes
6976321 ,NA                                                                    ,Freehold  ,"1,391 sqft"  ,Other       ,208 sqft     ,"257,766 sqft"      ,Yes
8352021 ,NA                                                                    ,Freehold  ,"1,944 sqft"  ,Other       ,127 sqft     ,"321,210 sqft"      ,Yes
8388395 ,T F G REAL ESTATE L.L.C                                               ,Freehold  ,541 sqft      ,Other       ,181 sqft     ,"217,036 sqft"      ,Yes
8465354 ,DREAM ESTATE LIMITED                                                  ,Freehold  ,"1,760 sqft"  ,Residential ,216 sqft     ,"689,176 sqft"      ,Yes
8427309 ,ZUMURUD REAL ESTATE - sole proprietorship L.L.C                       ,Freehold  ,866 sqft      ,Residential ,92 sqft      ,"279,413 sqft"      ,Yes
8473257 ,SHEFFIELD REAL ESTAT.L .L .C                                          ,Freehold  ,"1,329 sqft"  ,Residential ,244 sqft     ,"132,379 sqft"      ,Yes
8029846 ,L I V REAL ESTATE DEVELOPMENT L.L.C                                   ,NA        ,NA            ,NA          ,NA           ,NA                  ,NA
8290256 ,T F G REAL ESTATE L.L.C                                               ,NA        ,NA            ,NA          ,NA           ,"1,363,152 sqft"    ,NA
8473400 ,NA                                                                    ,Freehold  ,823 sqft      ,Residential ,65 sqft      ,"290,902 sqft"      ,Yes
7115187 ,NA                                                                    ,Freehold  ,"1,457 sqft"  ,Residential ,149 sqft     ,"983,257 sqft"      ,Yes
8014737 ,NA                                                                    ,Freehold  ,"2,619 sqft"  ,Residential ,350 sqft     ,"1,326,014 sqft"    ,Yes
8248295 ,DAMAC GULF PROPERTIES (L.L.C)                                         ,Freehold  ,951 sqft      ,Residential ,149 sqft     ,"884,073 sqft"      ,Yes
8221869 ,NA                                                                    ,Freehold  ,777 sqft      ,Residential ,48 sqft      ,"177,922 sqft"      ,Yes
7365443 ,AL SAYYAH & SONS INVESTMENT (L.L.C.)                                  ,Freehold  ,737 sqft      ,Residential ,68 sqft      ,"846,914 sqft"      ,Yes
8436813 ,EMAAR DEVELOPMENT P.J.S.C.                                            ,Freehold  ,"1,661 sqft"  ,Other       ,134 sqft     ,"1,403,598 sqft"    ,Yes
6134587 ,DAMAC PROPERTIES CO (L.L.C)                                           ,Freehold  ,"1,348 sqft"  ,Residential ,210 sqft     ,"810,161 sqft"      ,NA
7325333 ,EMAAR PROPERTIES (P.J.S.C)                                            ,Freehold  ,548 sqft      ,Residential ,59 sqft      ,"1,565,456 sqft"    ,NA
8227536 ,TIGER PROPERTIES                                                      ,Freehold  ,801 sqft      ,Residential ,115 sqft     ,"849,284 sqft"      ,Yes
8458676 ,DAMAC PROPERTIES CO (L.L.C)                                           ,Freehold  ,"1,537 sqft"  ,Residential ,146 sqft     ,"810,161 sqft"      ,Yes
8219045 ,NA                                                                    ,Freehold  ,"1,224 sqft"  ,Residential ,173 sqft     ,"170,941 sqft"      ,Yes
8158259 ,NA                                                                    ,NA        ,NA            ,NA          ,NA           ,"884,073 sqft"      ,NA
8462802 ,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C                      ,Freehold  ,"1,372 sqft"  ,Residential ,38 sqft      ,"720,602 sqft"      ,Yes
8376239 ,SELECT GLOBAL DEVELOPMENT L.L.C                                       ,Freehold  ,714 sqft      ,Residential ,62 sqft      ,"264,403 sqft"      ,Yes
8214591 ,DAMAC GULF PROPERTIES (L.L.C)                                         ,Freehold  ,"1,406 sqft"  ,Residential ,66 sqft      ,"884,073 sqft"      ,Yes
8405774 ,NA                                                                    ,Freehold  ,891 sqft      ,Residential ,59 sqft      ,"275,870 sqft"      ,Yes
8438544 ,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C                      ,Freehold  ,"1,255 sqft"  ,Residential ,35 sqft      ,"720,602 sqft"      ,Yes
8158081 ,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C                      ,Freehold  ,"1,376 sqft"  ,Residential ,38 sqft      ,"720,602 sqft"      ,Yes
8432995 ,EMAAR DEVELOPMENT P.J.S.C.                                            ,Freehold  ,680 sqft      ,Residential ,85 sqft      ,"1,465,941 sqft"    ,Yes
8253176 ,MARINA ARCADE REAL ESTATE (L.L.C)                                     ,Freehold  ,"2,410 sqft"  ,Residential ,154 sqft     ,"858,187 sqft"      ,Yes
8253930 ,MARINA ARCADE REAL ESTATE (L.L.C)                                     ,Freehold  ,"2,466 sqft"  ,Residential ,171 sqft     ,"858,187 sqft"      ,Yes
8251403 ,MARINA ARCADE REAL ESTATE (L.L.C)                                     ,Freehold  ,"2,466 sqft"  ,Residential ,171 sqft     ,"858,187 sqft"      ,Yes
8281843 ,WEST AVENUE LIMITED                                                   ,Freehold  ,705 sqft      ,Residential ,104 sqft     ,"267,598 sqft"      ,Yes
8453941 ,EMAAR PROPERTIES (P.J.S.C)                                            ,Freehold  ,865 sqft      ,Residential ,59 sqft      ,"1,565,456 sqft"    ,NA
8129887 ,NA                                                                    ,Freehold  ,"1,586 sqft"  ,Residential ,105 sqft     ,"330,421 sqft"      ,Yes
7726031 ,NA                                                                    ,Freehold  ,"1,804 sqft"  ,Residential ,301 sqft     ,"305,965 sqft"      ,Yes
8395553 ,TAMEER HOLDING INVESTMENT   (LLC)                                     ,Freehold  ,960 sqft      ,Residential ,42 sqft      ,"925,527 sqft"      ,Yes
8388838 ,NA                                                                    ,Freehold  ,722 sqft      ,Residential ,141 sqft     ,"257,766 sqft"      ,Yes
7829719 ,DEYAAR DEVELOPMENT (P.J.S.C)                                          ,Freehold  ,"3,554 sqft"  ,Other       ,280 sqft     ,"568,337 sqft"      ,Yes
8378957 ,SCOPE INVESTMENT L L C - DUBAI BRANCH                                 ,Freehold  ,"1,452 sqft"  ,Other       ,264 sqft     ,"940,502 sqft"      ,Yes
5635820 ,NA                                                                    ,Freehold  ,"3,888 sqft"  ,Residential ,562 sqft     ,"1,326,014 sqft"    ,Yes
7454384 ,DHEERAJ & EAST COAST (L.L.C)                                          ,Freehold  ,"1,287 sqft"  ,Residential ,110 sqft     ,"223,642 sqft"      ,Yes
8045618 ,EMAAR PROPERTIES (P.J.S.C)                                            ,Freehold  ,826 sqft      ,Residential ,47 sqft      ,"204,945 sqft"      ,Yes
8280253 ,NA                                                                    ,Freehold  ,980 sqft      ,Other       ,141 sqft     ,"297,040 sqft"      ,Yes
8436696 ,EMAAR DEVELOPMENT P.J.S.C.                                            ,Freehold  ,"1,094 sqft"  ,Other       ,102 sqft     ,"1,403,598 sqft"    ,Yes
8223739 ,GLOBAL GROUP INTERNATIONAL LIMITED                                    ,Freehold  ,813 sqft      ,Residential ,82 sqft      ,"345,350 sqft"      ,Yes
8439017 ,SELECT GLOBAL DEVELOPMENT L.L.C                                       ,Freehold  ,"1,097 sqft"  ,Residential ,119 sqft     ,"255,330 sqft"      ,Yes
8160684 ,NA                                                                    ,NA        ,NA            ,NA          ,NA           ,"1,326,014 sqft"    ,NA
8427885 ,GLOBAL GROUP INTERNATIONAL LIMITED                                    ,Freehold  ,808 sqft      ,Residential ,81 sqft      ,"345,350 sqft"      ,Yes
8147924 ,NA                                                                    ,Freehold  ,404 sqft      ,Residential ,48 sqft      ,"247,478 sqft"      ,Yes
8410997 ,DAMAC GULF PROPERTIES (L.L.C)                                         ,Freehold  ,"1,328 sqft"  ,Residential ,29 sqft      ,"884,073 sqft"      ,Yes
8268007 ,SELECT GLOBAL DEVELOPMENT L.L.C                                       ,Freehold  ,"1,424 sqft"  ,Residential ,92 sqft      ,"1,403,677 sqft"    ,Yes
8430398 ,TIGER PROPERTIES                                                      ,Freehold  ,761 sqft      ,Residential ,90 sqft      ,"849,284 sqft"      ,Yes
8425603 ,DAMAC GULF PROPERTIES (L.L.C)                                         ,Freehold  ,825 sqft      ,Residential ,159 sqft     ,"884,073 sqft"      ,Yes
8043769 ,NA                                                                    ,Freehold  ,573 sqft      ,Residential ,68 sqft      ,"257,766 sqft"      ,Yes
8425498 ,TAMEER HOLDING INVESTMENT   (LLC)                                     ,Freehold  ,"2,008 sqft"  ,Residential ,167 sqft     ,"1,097,409 sqft"    ,Yes
7945989 ,TEBYAN REAL ESTATE DEVELOPMENT ENTERPRISES (LLC)                      ,Freehold  ,407 sqft      ,Residential ,51 sqft      ,"107,473 sqft"      ,Yes
6344109 ,BAY CENTRAL DEVELOPMENTS LIMITED                                      ,Freehold  ,"1,538 sqft"  ,Residential ,137 sqft     ,"277,517 sqft"      ,Yes
8407269 ,TEBYAN REAL ESTATE DEVELOPMENT ENTERPRISES (LLC)                      ,Freehold  ,406 sqft      ,Residential ,73 sqft      ,"42,166 sqft"       ,Yes
8428820 ,DAMAC PROPERTIES CO (L.L.C)                                           ,Freehold  ,878 sqft      ,Residential ,131 sqft     ,"810,161 sqft"      ,Yes
7881066 ,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C                      ,Freehold  ,"1,255 sqft"  ,Residential ,35 sqft      ,"720,602 sqft"      ,Yes
8328529 ,NA                                                                    ,Freehold  ,"1,303 sqft"  ,Residential ,57 sqft      ,"283,672 sqft"      ,Yes
8415767 ,T F G REAL ESTATE L.L.C                                               ,Freehold  ,448 sqft      ,Other       ,NA           ,"1,363,152 sqft"    ,NA
8427555 ,NA                                                                    ,Freehold  ,"1,576 sqft"  ,Residential ,69 sqft      ,"326,421 sqft"      ,Yes
5707965 ,NA                                                                    ,NA        ,NA            ,NA          ,NA           ,"345,350 sqft"      ,NA
8388951 ,EMAAR DEVELOPMENT P.J.S.C.                                            ,Freehold  ,993 sqft      ,Other       ,155 sqft     ,"1,403,598 sqft"    ,Yes
6126627 ,GKT HOLDINGS LIMITED                                                  ,Freehold  ,910 sqft      ,Residential ,125 sqft     ,"294,679 sqft"      ,Yes
8186008 ,DAMAC PROPERTIES CO (L.L.C)                                           ,Freehold  ,"1,192 sqft"  ,Residential ,218 sqft     ,"810,161 sqft"      ,Yes
8320267 ,SCOPE INVESTMENT L L C - DUBAI BRANCH                                 ,Freehold  ,"1,063 sqft"  ,Other       ,139 sqft     ,"940,502 sqft"      ,Yes
8320268 ,SCOPE INVESTMENT L L C - DUBAI BRANCH                                 ,Freehold  ,"1,536 sqft"  ,Other       ,168 sqft     ,"940,502 sqft"      ,Yes
8320248 ,SCOPE INVESTMENT L L C - DUBAI BRANCH                                 ,Freehold  ,"1,758 sqft"  ,Other       ,147 sqft     ,"940,502 sqft"      ,Yes
8320266 ,SCOPE INVESTMENT L L C - DUBAI BRANCH                                 ,Freehold  ,966 sqft      ,Other       ,94 sqft      ,"940,502 sqft"      ,Yes
8396182 ,TORCH SELECT LIMITED                                                  ,Freehold  ,808 sqft      ,Residential ,114 sqft     ,"852,218 sqft"      ,Yes
8348723 ,CAYAN REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C                      ,Freehold  ,"1,788 sqft"  ,Residential ,157 sqft     ,"342,968 sqft"      ,Yes
8420635 ,EMAAR DEVELOPMENT P.J.S.C.                                            ,Freehold  ,"1,095 sqft"  ,Other       ,102 sqft     ,"1,403,598 sqft"    ,Yes
8331310 ,ZENICA PROPERTY DEVELOPMENT L.L.C                                     ,Freehold  ,"2,696 sqft"  ,Other       ,738 sqft     ,"1,908,955 sqft"    ,Yes
