id      ,Building Name                   ,Year of Completion ,Total Floors ,Swimming Pools ,Total Parking Spaces ,Total Building Area ,Elevators ,Retail Centres
8433264 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
8320244 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8110034 ,BAYSIDE                         ,2010               ,24           ,NA             ,NA                   ,"469,357 sqft"      ,NA        ,6
8373001 ,IRIS BLUE                       ,2011               ,29           ,NA             ,NA                   ,"211,465 sqft"      ,NA        ,6
8443128 ,23 MARINA                       ,2012               ,62           ,NA             ,NA                   ,"886,537 sqft"      ,NA        ,NA
8308351 ,ELITE RESIDENCE                 ,2012               ,75           ,NA             ,NA                   ,"925,527 sqft"      ,NA        ,3
8213579 ,WEST AVENUE                     ,2014               ,35           ,NA             ,NA                   ,"267,598 sqft"      ,NA        ,5
8468750 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
8505143 ,Delphine W3                     ,2009               ,23           ,NA             ,985                  ,"133,898 sqft"      ,2         ,NA
8508132 ,Sulafa Tower                    ,2010               ,67           ,NA             ,NA                   ,"846,914 sqft"      ,NA        ,1
8090851 ,Delphine W3                     ,2009               ,23           ,NA             ,985                  ,"133,898 sqft"      ,2         ,NA
8377156 ,MARINA 101                      ,NA                 ,61           ,NA             ,NA                   ,"1,379,605 sqft"    ,NA        ,NA
8454831 ,Torch Tower                     ,2011               ,76           ,NA             ,NA                   ,"852,218 sqft"      ,NA        ,6
8205691 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
8197533 ,Cavalli Casa Tower              ,NA                 ,72           ,1              ,640                  ,"1,908,955 sqft"    ,19        ,3
8463308 ,DAMAC HEIGHTS                   ,2018               ,80           ,1              ,703                  ,"884,073 sqft"      ,12        ,3
8009124 ,DAMAC HEIGHTS                   ,2018               ,80           ,1              ,703                  ,"884,073 sqft"      ,12        ,3
8501721 ,THE RESIDENCE AT MARINA GATE 2  ,2019               ,61           ,1              ,770                  ,"703,394 sqft"      ,11        ,15
8444495 ,Studio One                      ,2019               ,32           ,1              ,424                  ,"264,403 sqft"      ,6         ,5
8476557 ,THE RESIDENCE AT MARINA GATE 2  ,2019               ,61           ,1              ,770                  ,"703,394 sqft"      ,11        ,15
6976321 ,MANCHESTER TOWER                ,2008               ,33           ,NA             ,NA                   ,"257,766 sqft"      ,NA        ,3
8352021 ,TIME PLACE TOWER                ,2009               ,36           ,NA             ,NA                   ,"321,210 sqft"      ,NA        ,4
8388395 ,TFG ONE HOTEL                   ,2018               ,23           ,1              ,106                  ,"217,036 sqft"      ,6         ,5
8465354 ,MAG218                          ,2010               ,57           ,NA             ,NA                   ,"689,176 sqft"      ,NA        ,7
8427309 ,ZUMURUD                         ,2010               ,30           ,NA             ,NA                   ,"279,413 sqft"      ,NA        ,3
8473257 ,MARINA SUITES                   ,2015               ,16           ,1              ,123                  ,"132,379 sqft"      ,4         ,1
8029846 ,NA                              ,NA                 ,NA           ,NA             ,NA                   ,NA                  ,NA        ,NA
8290256 ,Ciel                            ,NA                 ,1            ,1              ,326                  ,"1,363,152 sqft"    ,19        ,8
8473400 ,DEC TOWERS T2                   ,2009               ,28           ,NA             ,NA                   ,"290,902 sqft"      ,NA        ,8
7115187 ,MARINA CROWN TOWER              ,2007               ,55           ,1              ,451                  ,"983,257 sqft"      ,7         ,3
8014737 ,EMIRATES CROWN TOWER            ,2009               ,62           ,NA             ,NA                   ,"1,326,014 sqft"    ,NA        ,6
8248295 ,DAMAC HEIGHTS                   ,2018               ,80           ,1              ,703                  ,"884,073 sqft"      ,12        ,3
8221869 ,MARINA DIAMOND 4                ,2008               ,20           ,NA             ,NA                   ,"177,922 sqft"      ,NA        ,4
7365443 ,Sulafa Tower                    ,2010               ,67           ,NA             ,NA                   ,"846,914 sqft"      ,NA        ,1
8436813 ,VIDA Residences Dubai Marina    ,2022               ,60           ,1              ,562                  ,"1,403,598 sqft"    ,17        ,NA
6134587 ,OCEAN HEIGHTS                   ,2010               ,75           ,NA             ,NA                   ,"810,161 sqft"      ,NA        ,1
7325333 ,Dubai Marina Mall Hotel         ,2009               ,31           ,NA             ,NA                   ,"1,565,456 sqft"    ,NA        ,12
8227536 ,Marina Pinnacle                 ,2011               ,66           ,NA             ,NA                   ,"849,284 sqft"      ,NA        ,7
8458676 ,OCEAN HEIGHTS                   ,2010               ,75           ,NA             ,NA                   ,"810,161 sqft"      ,NA        ,1
8219045 ,MARINA VIEW TOWERS B            ,2009               ,14           ,NA             ,NA                   ,"170,941 sqft"      ,NA        ,11
8158259 ,DAMAC HEIGHTS                   ,2018               ,80           ,1              ,703                  ,"884,073 sqft"      ,12        ,3
8462802 ,CAYAN TOWER                     ,2013               ,68           ,NA             ,NA                   ,"720,602 sqft"      ,NA        ,7
8376239 ,Studio One                      ,2019               ,32           ,1              ,424                  ,"264,403 sqft"      ,6         ,5
8214591 ,DAMAC HEIGHTS                   ,2018               ,80           ,1              ,703                  ,"884,073 sqft"      ,12        ,3
8405774 ,Paloma x3                       ,2009               ,40           ,NA             ,985                  ,"275,870 sqft"      ,3         ,NA
8438544 ,CAYAN TOWER                     ,2013               ,68           ,NA             ,NA                   ,"720,602 sqft"      ,NA        ,7
8158081 ,CAYAN TOWER                     ,2013               ,68           ,NA             ,NA                   ,"720,602 sqft"      ,NA        ,7
8432995 ,52|42 Tower 2                   ,2020               ,38           ,NA             ,245                  ,"1,465,941 sqft"    ,5         ,NA
8253176 ,MARINA ARCADE                   ,2017               ,49           ,1              ,367                  ,"858,187 sqft"      ,8         ,1
8253930 ,MARINA ARCADE                   ,2017               ,49           ,1              ,367                  ,"858,187 sqft"      ,8         ,1
8251403 ,MARINA ARCADE                   ,2017               ,49           ,1              ,367                  ,"858,187 sqft"      ,8         ,1
8281843 ,WEST AVENUE                     ,2014               ,35           ,NA             ,NA                   ,"267,598 sqft"      ,NA        ,5
8453941 ,Dubai Marina Mall Hotel         ,2009               ,31           ,NA             ,NA                   ,"1,565,456 sqft"    ,NA        ,12
8129887 ,MARINA TOWER                    ,2013               ,33           ,NA             ,NA                   ,"330,421 sqft"      ,NA        ,5
7726031 ,MARINA TERRACE                  ,2008               ,36           ,NA             ,NA                   ,"305,965 sqft"      ,NA        ,14
8395553 ,ELITE RESIDENCE                 ,2012               ,75           ,NA             ,NA                   ,"925,527 sqft"      ,NA        ,3
8388838 ,MANCHESTER TOWER                ,2008               ,33           ,NA             ,NA                   ,"257,766 sqft"      ,NA        ,3
7829719 ,AL SEEF 1                       ,2005               ,41           ,NA             ,NA                   ,"568,337 sqft"      ,NA        ,8
8378957 ,Stella Maris                    ,2022               ,58           ,1              ,379                  ,"940,502 sqft"      ,8         ,4
5635820 ,EMIRATES CROWN TOWER            ,2009               ,62           ,NA             ,NA                   ,"1,326,014 sqft"    ,NA        ,6
7454384 ,MARINA WHARF II                 ,2014               ,30           ,1              ,200                  ,"223,642 sqft"      ,5         ,13
