Prev. Close                           ,Open   ,Day's Range ,52 wk Range   ,Volume        ,Average Vol. (3m) ,1-Year Change ,Shares Outstanding ,Fair Value       ,Dividends Payment Streak ,Market Cap ,Revenue ,P/E Ratio ,EPS     ,Dividend (Yield) ,Beta         ,Next Earnings Date ,Book Value / Share ,EV/EBITDA
Nike Inc (NKE)                        ,101.72 ,     101.05 ,100.24-101.31 ,88.66-131.31  ,"8,198,256"       ,"8,710,125"   ,-21.32%            ,"1,515,122,068"  ,Unlock                   ,Unlock     ,152.75B ,51.54B    ,29.06   ,3.46             ,1.48(1.45%)  ,1.12               ,"Mar 21, 2024"     ,Unlock    ,Unlock
Coca-Cola Co (KO)                     , 59.99 ,      59.86 ,59.82-60.21   ,51.55-64.99   ,"8,882,675"       ,"14,208,773"  ,-2.74%             ,"4,323,413,810"  ,Unlock                   ,Unlock     ,259.4B  ,45.03B    ,24.06   ,2.49             ,1.84(3.07%)  ,0.577              ,"Feb 13, 2024"     ,Unlock    ,Unlock
Microsoft Corporation (MSFT)          ,390.27 ,     387.98 ,384.81-390.11 ,230.68-394.03 ,"20,243,635"      ,"25,999,378"  ,62.04%             ,"7,432,262,329"  ,Unlock                   ,Unlock     ,2.89T   ,218.31B   ,37.47   ,10.36            ,3.00(0.77%)  ,0.897              ,"Jan 23, 2024"     ,Unlock    ,Unlock
3M Company (MMM)                      ,107.64 ,     106.85 ,105.53-107.66 ,85.35-123.9   ,"2,628,332"       ,"3,292,760"   ,-16.21%            ,"552,317,038"    ,Unlock                   ,Unlock     ,58.59B  ,32.75B    ,-7.92   ,-13.37           ,6.00(5.57%)  ,1.02               ,"Jan 23, 2024"     ,Unlock    ,Unlock
American Express Company (AXP)        ,180.97 ,     179.45 ,179-181.6     ,140.91-189.51 ,"2,356,992"       ,"3,065,976"   ,17.72%             ,"728,745,577"    ,Unlock                   ,Unlock     ,131.9B  ,54.38B    ,16.92   ,10.66            ,2.40(1.33%)  ,1.22               ,"Jan 26, 2024"     ,Unlock    ,Unlock
Amgen Inc (AMGN)                      ,303.48 ,     302.46 ,301.1-304.63  ,211.71-311.05 ,"2,197,000"       ,"2,390,916"   ,12.86%             ,"535,178,027"    ,Unlock                   ,Unlock     ,162.74B ,26.83B    ,21.41   ,14.14            ,9.00(2.97%)  ,0.58               ,"Feb 06, 2024"     ,Unlock    ,Unlock
Apple Inc (AAPL)                      ,183.63 ,     181.27 ,180.3-182.93  ,133.77-199.62 ,"47,137,323"      ,"53,144,719"  ,34.38%             ,"15,461,896,000" ,Unlock                   ,Unlock     ,2.82T   ,383.29B   ,29.59   ,6.16             ,0.96(0.52%)  ,1.31               ,"Feb 01, 2024"     ,Unlock    ,Unlock
Boeing Co (BA)                        ,200.52 ,     202.63 ,201.65-206.3  ,176.25-267.54 ,"20,097,357"      ,"7,577,497"   ,-3.95%             ,"604,976,797"    ,Unlock                   ,Unlock     ,122.85B ,75.76B    ,-43.10  ,-4.69            ,N/A(N/A)     ,1.48               ,"Jan 31, 2024"     ,Unlock    ,Unlock
Cisco Systems Inc (CSCO)              , 50.59 ,      50.24 ,49.91-50.43   ,45.56-58.19   ,"17,166,301"      ,"19,346,106"  ,4.62%              ,"4,063,475,676"  ,Unlock                   ,Unlock     ,204.39B ,58.03B    ,15.07   ,3.33             ,1.56(3.08%)  ,0.894              ,"Feb 14, 2024"     ,Unlock    ,Unlock
Goldman Sachs Group Inc (GS)          ,380.45 ,     375.2  ,374.13-380.2  ,289.36-389.47 ,"2,361,630"       ,"2,107,341"   ,7.79%              ,"354,426,792"    ,Unlock                   ,Unlock     ,133.68B ,45.23B    ,16.52   ,23.2             ,11.00(2.89%) ,1.45               ,"Apr 16, 2024"     ,Unlock    ,Unlock
