id,Project Name,Project Status,Last Inspected,Completion,Handover
8433264,NA,NA,NA,NA,NA
8320244,NA,NA,NA,NA,NA
8110034,NA,NA,NA,NA,NA
8373001,NA,NA,NA,NA,NA
8443128,NA,NA,NA,NA,NA
8308351,NA,NA,NA,NA,NA
8213579,NA,NA,NA,NA,NA
8468750,NA,NA,NA,NA,NA
8505143,NA,NA,NA,NA,NA
8508132,NA,NA,NA,NA,NA
8090851,NA,NA,NA,NA,NA
8377156,NA,NA,NA,NA,NA
8454831,NA,NA,NA,NA,NA
8205691,NA,NA,NA,NA,NA
8197533,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8463308,NA,NA,NA,NA,NA
8009124,NA,NA,NA,NA,NA
8501721,NA,NA,NA,NA,NA
8444495,NA,NA,NA,NA,NA
8476557,NA,NA,NA,NA,NA
6976321,NA,NA,NA,NA,NA
8352021,NA,NA,NA,NA,NA
8388395,NA,NA,NA,NA,NA
8465354,NA,NA,NA,NA,NA
8427309,NA,NA,NA,NA,NA
8473257,NA,NA,NA,NA,NA
8029846,LIV MARINA,Active,October 2023,56%,May 2025
8290256,Ciel,Active,July 2023,80%,NA
8473400,NA,NA,NA,NA,NA
7115187,NA,NA,NA,NA,NA
8014737,NA,NA,NA,NA,NA
8248295,NA,NA,NA,NA,NA
8221869,NA,NA,NA,NA,NA
7365443,NA,NA,NA,NA,NA
8436813,NA,NA,NA,NA,NA
6134587,NA,NA,NA,NA,NA
7325333,NA,NA,NA,NA,NA
8227536,NA,NA,NA,NA,NA
8458676,NA,NA,NA,NA,NA
8219045,NA,NA,NA,NA,NA
8158259,NA,NA,NA,NA,NA
8462802,NA,NA,NA,NA,NA
8376239,NA,NA,NA,NA,NA
8214591,NA,NA,NA,NA,NA
8405774,NA,NA,NA,NA,NA
8438544,NA,NA,NA,NA,NA
8158081,NA,NA,NA,NA,NA
8432995,NA,NA,NA,NA,NA
8253176,NA,NA,NA,NA,NA
8253930,NA,NA,NA,NA,NA
8251403,NA,NA,NA,NA,NA
8281843,NA,NA,NA,NA,NA
8453941,NA,NA,NA,NA,NA
8129887,NA,NA,NA,NA,NA
7726031,NA,NA,NA,NA,NA
8395553,NA,NA,NA,NA,NA
8388838,NA,NA,NA,NA,NA
7829719,NA,NA,NA,NA,NA
8378957,NA,NA,NA,NA,NA
5635820,NA,NA,NA,NA,NA
7454384,NA,NA,NA,NA,NA
8045618,NA,NA,NA,NA,NA
8280253,NA,NA,NA,NA,NA
8436696,NA,NA,NA,NA,NA
8223739,NA,NA,NA,NA,NA
8439017,NA,NA,NA,NA,NA
8160684,NA,NA,NA,NA,NA
8427885,NA,NA,NA,NA,NA
8147924,NA,NA,NA,NA,NA
8410997,NA,NA,NA,NA,NA
8268007,NA,NA,NA,NA,NA
8430398,NA,NA,NA,NA,NA
8425603,NA,NA,NA,NA,NA
8043769,NA,NA,NA,NA,NA
8425498,NA,NA,NA,NA,NA
7945989,NA,NA,NA,NA,NA
6344109,NA,NA,NA,NA,NA
8407269,NA,NA,NA,NA,NA
8428820,NA,NA,NA,NA,NA
7881066,NA,NA,NA,NA,NA
8328529,NA,NA,NA,NA,NA
8415767,Ciel,Active,July 2023,80%,NA
8427555,NA,NA,NA,NA,NA
5707965,NA,NA,NA,NA,NA
8388951,NA,NA,NA,NA,NA
6126627,NA,NA,NA,NA,NA
8186008,NA,NA,NA,NA,NA
8320267,NA,NA,NA,NA,NA
8320268,NA,NA,NA,NA,NA
8320248,NA,NA,NA,NA,NA
8320266,NA,NA,NA,NA,NA
8396182,NA,NA,NA,NA,NA
8348723,NA,NA,NA,NA,NA
8420635,NA,NA,NA,NA,NA
8331310,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
6113545,NA,NA,NA,NA,NA
5333448,NA,NA,NA,NA,NA
8404224,NA,NA,NA,NA,NA
8381901,NA,NA,NA,NA,NA
8382043,NA,NA,NA,NA,NA
7866957,NA,NA,NA,NA,NA
8415368,NA,NA,NA,NA,NA
8407671,NA,NA,NA,NA,NA
8380210,NA,NA,NA,NA,NA
8072294,NA,NA,NA,NA,NA
8160897,NA,NA,NA,NA,NA
8395693,NA,NA,NA,NA,NA
8376051,NA,NA,NA,NA,NA
7558971,NA,NA,NA,NA,NA
8251357,NA,NA,NA,NA,NA
8384177,NA,NA,NA,NA,NA
8320265,NA,NA,NA,NA,NA
8088967,NA,NA,NA,NA,NA
8392950,NA,NA,NA,NA,NA
8160665,NA,NA,NA,NA,NA
8229586,NA,NA,NA,NA,NA
8278673,NA,NA,NA,NA,NA
8361588,NA,NA,NA,NA,NA
7559113,NA,NA,NA,NA,NA
8377107,NA,NA,NA,NA,NA
8296510,NA,NA,NA,NA,NA
8305653,NA,NA,NA,NA,NA
7870784,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8344342,NA,NA,NA,NA,NA
8346772,NA,NA,NA,NA,NA
8344506,NA,NA,NA,NA,NA
8086329,NA,NA,NA,NA,NA
8203163,NA,NA,NA,NA,NA
8102975,NA,NA,NA,NA,NA
8338094,NA,NA,NA,NA,NA
8339448,MARINA SHORES,Active,October 2023,6%,December 2026
7979595,NA,NA,NA,NA,NA
8251862,NA,NA,NA,NA,NA
7850580,Ciel,Active,July 2023,80%,NA
8316451,NA,NA,NA,NA,NA
7690899,NA,NA,NA,NA,NA
8166319,NA,NA,NA,NA,NA
8320172,MARINA SHORES,Active,October 2023,6%,December 2026
8288264,NA,NA,NA,NA,NA
7940256,CAVALLI CASA TOWER,Active,September 2023,12%,September 2025
8105788,NA,NA,NA,NA,NA
8498357,NA,NA,NA,NA,NA
8508256,NA,NA,NA,NA,NA
8509465,NA,NA,NA,NA,NA
8498876,NA,NA,NA,NA,NA
8497546,NA,NA,NA,NA,NA
8474781,NA,NA,NA,NA,NA
8495308,NA,NA,NA,NA,NA
8475015,NA,NA,NA,NA,NA
8462600,NA,NA,NA,NA,NA
8466880,NA,NA,NA,NA,NA
8463147,NA,NA,NA,NA,NA
8464054,NA,NA,NA,NA,NA
8403460,NA,NA,NA,NA,NA
8421473,NA,NA,NA,NA,NA
8428787,NA,NA,NA,NA,NA
8407213,NA,NA,NA,NA,NA
8393643,NA,NA,NA,NA,NA
8394665,NA,NA,NA,NA,NA
8400231,NA,NA,NA,NA,NA
8393053,NA,NA,NA,NA,NA
8433157,NA,NA,NA,NA,NA
8361014,NA,NA,NA,NA,NA
8382216,NA,NA,NA,NA,NA
8344509,NA,NA,NA,NA,NA
8348095,NA,NA,NA,NA,NA
8461603,NA,NA,NA,NA,NA
8335231,NA,NA,NA,NA,NA
