id      ,Type      ,Purpose  ,Completion ,Added on
8344342 ,Apartment ,For Sale ,Ready      ,19 December 2023
8346772 ,Apartment ,For Sale ,Ready      ,20 December 2023
8344506 ,Apartment ,For Sale ,Ready      ,19 December 2023
8533647 ,Apartment ,For Sale ,Ready      ,31 January 2024
8264868 ,Apartment ,For Sale ,Off-Plan   ,30 November 2023
8006723 ,Apartment ,For Sale ,Off-Plan   ,4 October 2023
6113545 ,Apartment ,For Sale ,Ready      ,19 October 2023
8531209 ,Apartment ,For Sale ,Ready      ,30 January 2024
6705296 ,Apartment ,For Sale ,Ready      ,30 December 2022
7454384 ,Apartment ,For Sale ,Ready      ,12 January 2024
8264917 ,Apartment ,For Sale ,Ready      ,30 November 2023
8284664 ,Apartment ,For Sale ,Ready      ,6 December 2023
7997869 ,Apartment ,For Sale ,Ready      ,3 October 2023
8383617 ,Apartment ,For Sale ,Ready      ,28 December 2023
8433157 ,Apartment ,For Sale ,Ready      ,10 January 2024
8186276 ,Apartment ,For Sale ,Ready      ,14 November 2023
8538497 ,Apartment ,For Sale ,Ready      ,1 February 2024
8494249 ,Apartment ,For Sale ,Ready      ,23 January 2024
6237477 ,Apartment ,For Sale ,Ready      ,31 January 2024
8509563 ,Apartment ,For Sale ,Ready      ,26 January 2024
8118386 ,Apartment ,For Sale ,Ready      ,30 October 2023
8536701 ,Apartment ,For Sale ,Ready      ,31 January 2024
7876031 ,Apartment ,For Sale ,Off-Plan   ,31 August 2023
8500428 ,Apartment ,For Sale ,Ready      ,24 January 2024
8464311 ,Apartment ,For Sale ,Ready      ,17 January 2024
8166319 ,Apartment ,For Sale ,Ready      ,9 November 2023
8177994 ,Apartment ,For Sale ,Ready      ,11 November 2023
8370937 ,Apartment ,For Sale ,Ready      ,26 December 2023
8454240 ,Apartment ,For Sale ,Ready      ,15 January 2024
8536387 ,Apartment ,For Sale ,Ready      ,31 January 2024
8158061 ,Apartment ,For Sale ,Ready      ,8 November 2023
8201600 ,Apartment ,For Sale ,Off-Plan   ,16 November 2023
8202039 ,Apartment ,For Sale ,Off-Plan   ,16 November 2023
8202038 ,Apartment ,For Sale ,Off-Plan   ,16 November 2023
8536637 ,Apartment ,For Sale ,Off-Plan   ,31 January 2024
8496358 ,Apartment ,For Sale ,Ready      ,24 January 2024
