id,Developer,Ownership,Built-up Area,Usage,Balcony Size,Total Building Area,Parking Availability
8110034,TRIDENT INTERNATIONAL HOLDING (FZCO),Freehold,"4,774 sqft",Residential,"1,934 sqft","469,357 sqft",Yes
8373001,NA,Freehold,"1,371 sqft",Residential,158 sqft,"211,465 sqft",Yes
8443128,HIRCON INTERNATIONAL L.L.C,Freehold,"2,980 sqft",Residential,365 sqft,"886,537 sqft",Yes
8308351,NA,NA,NA,NA,NA,"925,527 sqft",NA
8213579,WEST AVENUE LIMITED,Freehold,"1,331 sqft",Residential,180 sqft,"267,598 sqft",Yes
8468750,EMAAR DEVELOPMENT P.J.S.C.,Freehold,"2,307 sqft",Other,223 sqft,"1,403,598 sqft",Yes
8505143,NA,Freehold,"1,979 sqft",Residential,115 sqft,"133,898 sqft",Yes
8508132,AL SAYYAH & SONS INVESTMENT (L.L.C.),Freehold,910 sqft,Residential,98 sqft,"846,914 sqft",Yes
8090851,NA,Freehold,"1,797 sqft",Residential,176 sqft,"133,898 sqft",Yes
8377156,NA,NA,NA,NA,NA,"1,379,605 sqft",NA
8454831,TORCH SELECT LIMITED,Freehold,"1,258 sqft",Other,78 sqft,"852,218 sqft",Yes
8205691,SCOPE INVESTMENT L L C - DUBAI BRANCH,Freehold,"1,529 sqft",Other,192 sqft,"940,502 sqft",Yes
8197533,ZENICA PROPERTY DEVELOPMENT L.L.C,NA,NA,NA,NA,"1,908,955 sqft",NA
8463308,DAMAC GULF PROPERTIES (L.L.C),Freehold,"1,512 sqft",Residential,172 sqft,"884,073 sqft",Yes
8009124,DAMAC GULF PROPERTIES (L.L.C),Freehold,848 sqft,Residential,131 sqft,"884,073 sqft",Yes
8430798,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,"1,396 sqft",Residential,109 sqft,"610,210 sqft",Yes
8501721,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,"1,812 sqft",Residential,216 sqft,"703,394 sqft",Yes
8444495,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,591 sqft,Residential,102 sqft,"264,403 sqft",Yes
8248536,L I V REAL ESTATE DEVELOPMENT L.L.C,Freehold,919 sqft,Residential,119 sqft,"427,447 sqft",Yes
8476557,SELECT GLOBAL DEVELOPMENT L.L.C,Freehold,"1,204 sqft",Residential,153 sqft,"703,394 sqft",Yes
6976321,NA,Freehold,"1,391 sqft",Other,208 sqft,"257,766 sqft",Yes
8352021,NA,Freehold,"1,944 sqft",Other,127 sqft,"321,210 sqft",Yes
8388395,T F G REAL ESTATE L.L.C,Freehold,541 sqft,Other,181 sqft,"217,036 sqft",Yes
8465354,DREAM ESTATE LIMITED,Freehold,"1,760 sqft",Residential,216 sqft,"689,176 sqft",Yes
